x1,y
60001,6220.01954929978
60002,4633.595244998551
60003,21918.142328494163
60004,7534.871920656927
60005,9110.458785297089
60006,11998.7979009031
60007,12132.568328445748
60008,7325.317945383615
60009,12145.558823529413
60010,8442.271873583317
60011,4627.542814449064
60012,4627.542814449064
60013,4633.595244998551
60014,6950.245206038352
60015,12830.336985391767
60016,4189.6799488600045
60017,4627.542814449064
60018,4311.205903585465
60019,4372.33930445735
60020,7406.183615819209
60021,4143.798027444253
60022,7460.2329616637435
60023,15629.278075685614
60024,9110.458785297089
60025,14560.491085613416
60026,10061.322581960529
60027,14447.919187254676
60028,14391.901301775148
60029,4189.6799488600045
60030,4311.205903585465
60031,4627.542814449064
60032,7852.44398003743
60033,23647.469491709115
60034,14196.967851924013
60035,10334.408897014016
60036,4311.205903585465
60037,15185.416404635702
60038,6917.0629442201625
60039,10875.25684745148
60040,4627.542814449064
60041,7242.219832899603
60042,4633.595244998551
60043,6707.38928906984
60044,4633.595244998551
60045,4311.205903585465
60046,6267.252361472666
60047,8771.47025589897
60048,12825.689171674325
60049,10016.772899685255
60050,7964.360469265768
60051,4189.6799488600045
60052,6647.003664170782
60053,8137.056927416105
60054,6216.1695849859725
60055,8796.331175177133
60056,18827.700380807313
60057,6694.730589070263
60058,4606.2895030709105
60059,9230.655462980496
60060,18212.327762074474
60061,10642.291572489507
60062,16035.25919032108
60063,9110.458785297089
60064,4606.2895030709105
60065,11499.426557583385
60066,6265.76336318983
60067,9110.458785297089
60068,4143.798027444253
60069,7534.871920656927
60070,4189.6799488600045
60071,7778.728737113402
60072,5215.58279253908
60073,6463.048700075358
60074,17532.121917170778
60075,14155.603871713378
60076,6107.033755274261
60077,11725.974094914534
60078,9122.866103739445
60079,8671.518491660623
60080,4311.205903585465
60081,7242.219832899603
60082,4311.205903585465
60083,16129.619929797193
60084,4468.45522600884
60085,4597.048978494624
60086,8771.47025589897
60087,4402.67598049177
60088,4143.798027444253
60089,4311.205903585465
60090,11998.7979009031
60091,4633.595244998551
60092,4627.542814449064
60093,11004.941826289652
60094,20468.431762718228
60095,9505.868936716994
60096,12679.475613858056
60097,4311.205903585465
60098,4633.595244998551
60099,12314.302742616033
60100,6914.6771187813965
60101,10875.25684745148
60102,15385.187883863764
60103,4627.542814449064
60104,19165.644209599297
60105,4324.231388635673
60106,11415.626586397657
60107,6950.245206038352
60108,12862.171178793005
60109,9122.866103739445
60110,11601.433534162286
60111,7325.317945383615
60112,6475.797348762268
60113,12825.689171674325
60114,8796.331175177133
60115,15385.187883863764
60116,16589.57132132132
60117,9122.866103739445
60118,12825.689171674325
60119,4189.6799488600045
60120,8011.714345374818
60121,10201.156812766665
60122,15985.443611219322
60123,16508.602927580894
60124,4372.33930445735
60125,8168.572151898734
60126,9010.6875
60127,4311.205903585465
60128,4189.6799488600045
60129,6267.252361472666
60130,8771.47025589897
60131,7240.262893567703
60132,5233.7483419032715
60133,12688.986901971599
60134,7325.317945383615
60135,6366.530371372726
60136,4311.205903585465
60137,11987.30401459854
60138,6358.863262821488
60139,9230.655462980496
60140,5139.269812229177
60141,11134.849505912845
60142,18351.967260671365
60143,11735.585346028796
60144,10088.851450676982
60145,14864.867648738153
60146,11474.221299462628
60147,14449.658389261745
60148,4633.595244998551
60149,7635.058530096441
60150,11759.881943369952
60151,6416.566866653764
60152,7327.588588149232
60153,4189.6799488600045
60154,18195.019628099173
60155,4189.6799488600045
60156,24300.287901531072
60157,8610.042835904107
60158,7498.535035814388
60159,4627.542814449064
60160,5577.827554064132
60161,4311.205903585465
60162,21201.924308300397
60163,15208.999002106664
60164,4311.205903585465
60165,4372.33930445735
60166,7492.093689298459
60167,4627.542814449064
60168,6265.76336318983
60169,11759.881943369952
60170,10642.611822289156
60171,4189.6799488600045
60172,7321.504025399705
60173,4143.798027444253
60174,15692.037695590327
60175,4633.595244998551
60176,14350.167989219943
60177,19570.861598664902
60178,4324.231388635673
60179,4468.45522600884
60180,4606.2895030709105
60181,7460.2329616637435
60182,5215.58279253908
60183,4468.45522600884
60184,5549.527726472231
60185,4468.45522600884
60186,9109.890100305276
60187,9536.3886406397
60188,4791.236811832375
60189,4402.67598049177
60190,11499.426557583385
60191,6914.6771187813965
60192,4627.542814449064
60193,7534.871920656927
60194,11621.424215698627
60195,4189.6799488600045
60196,14155.603871713378
60197,12140.36629607958
60198,9927.041919745096
60199,7534.871920656927
60200,9064.628353326063
60201,18684.362139357647
60202,4311.205903585465
60203,7534.871920656927
60204,4311.205903585465
60205,4386.6800573888095
60206,10287.77907998828
60207,7492.093689298459
60208,11535.630593262946
60209,8771.47025589897
60210,11028.78694961204
60211,9122.866103739445
60212,4606.2895030709105
60213,6107.033755274261
60214,7498.535035814388
60215,6774.982882659389
60216,8393.23738922972
60217,9185.548437371832
60218,16508.602927580894
60219,10287.77907998828
60220,4189.6799488600045
60221,4627.542814449064
60222,4189.6799488600045
60223,4633.595244998551
60224,4372.33930445735
60225,5131.384167785664
60226,18684.362139357647
60227,4414.159580663949
60228,16404.451923076922
60229,15008.153667441089
60230,12825.689171674325
60231,8005.5680061330095
60232,6686.333072835261
60233,4402.67598049177
60234,4657.509653759033
60235,6358.863262821488
60236,4402.67598049177
60237,12974.9228799518
60238,4871.236536547606
60239,4402.67598049177
60240,4311.205903585465
60241,4414.159580663949
60242,4372.33930445735
60243,4414.159580663949
60244,4311.205903585465
60245,4372.33930445735
60246,7240.262893567703
60247,11352.450305212084
60248,4405.3126912986445
60249,8771.47025589897
60250,4311.205903585465
60251,4414.159580663949
60252,4189.6799488600045
60253,7240.262893567703
60254,16572.938579017264
60255,4372.33930445735
60256,12830.336985391767
60257,9606.352771420043
60258,11272.645129224653
60259,18684.362139357647
60260,7346.172248493878
60261,23662.121944286526
60262,4372.33930445735
60263,8741.266692851532
60264,7568.033741715204
60265,7867.2883264789625
60266,13743.850603817686
60267,8442.271873583317
60268,9405.599554751634
60269,4311.205903585465
60270,4169.365117713581
60271,19224.7294746418
60272,4189.6799488600045
60273,7077.675711942747
60274,6914.6771187813965
60275,13971.584028913174
60276,4633.595244998551
60277,10474.876483604909
60278,9963.107909332048
60279,9693.12416598861
60280,12208.417045110506
60281,20425.583972125434
60282,4791.236811832375
60283,8011.714345374818
60284,6366.530371372726
60285,4324.231388635673
60286,4627.542814449064
60287,9110.458785297089
60288,4627.542814449064
60289,9122.866103739445
60290,5131.384167785664
60291,4627.542814449064
60292,7534.871920656927
60293,6220.01954929978
60294,13971.584028913174
60295,11228.739769150052
60296,7498.535035814388
60297,8961.92944169888
60298,8671.518491660623
60299,20695.091013344452
60300,4627.542814449064
60301,6516.201104613386
60302,4618.398697033328
60303,8065.278598076822
60304,18901.000417798205
60305,6216.1695849859725
60306,6360.729637364724
60307,9764.44986406525
60308,4311.205903585465
60309,4633.595244998551
60310,18195.019628099173
60311,18195.019628099173
60312,8818.44848889631
60313,17240.792560446374
60314,7325.317945383615
60315,18518.55271373679
60316,7346.172248493878
60317,4372.33930445735
60318,4189.6799488600045
60319,6360.729637364724
60320,4627.542814449064
60321,6707.38928906984
60322,19838.37493188011
60323,4829.058671417079
60324,10851.419543281996
60325,4311.205903585465
60326,4189.6799488600045
60327,4324.231388635673
60328,4189.6799488600045
60329,9822.084972080602
60330,18138.887819326177
60331,6774.982882659389
60332,6774.982882659389
60333,11601.433534162286
60334,7325.317945383615
60335,4189.6799488600045
60336,7492.093689298459
60337,4439.798571938593
60338,4143.798027444253
60339,5215.58279253908
60340,6914.6771187813965
60341,16045.352568532597
60342,9110.458785297089
60343,21464.072340425533
60344,4627.542814449064
60345,4627.542814449064
60346,4189.6799488600045
60347,4189.6799488600045
60348,7485.780341023069
60349,9110.458785297089
60350,22929.911317349834
60351,6950.245206038352
60352,5215.58279253908
60353,9262.8000241955
60354,11735.585346028796
60355,5215.58279253908
60356,6832.875664078463
60357,6107.033755274261
60358,7534.871920656927
60359,8011.714345374818
60360,4189.6799488600045
60361,4402.67598049177
60362,23662.121944286526
60363,23633.864950838633
60364,4372.33930445735
60365,11987.30401459854
60366,4800.93185752027
60367,19359.109100877195
60368,11272.645129224653
60369,4633.595244998551
60370,4468.45522600884
60371,5233.7483419032715
60372,9927.041919745096
60373,10221.593562409438
60374,15430.421454993835
60375,6762.021853076365
60376,23309.09298245614
60377,7242.219832899603
60378,7242.219832899603
60379,4311.205903585465
60380,20900.01028349083
60381,4468.45522600884
60382,4606.2895030709105
60383,15161.34
60384,6950.245206038352
60385,9712.882694166936
60386,4311.205903585465
60387,4468.45522600884
60388,7534.871920656927
60389,8818.44848889631
60390,20638.228846153845
60391,8610.042835904107
60392,4143.798027444253
60393,4311.205903585465
60394,7327.588588149232
60395,4311.205903585465
60396,4311.205903585465
60397,4633.595244998551
60398,10381.10059772189
60399,4627.542814449064
60400,4633.595244998551
60401,4189.6799488600045
60402,8011.714345374818
60403,7125.769808173478
60404,4189.6799488600045
60405,15629.278075685614
60406,4871.236536547606
60407,4311.205903585465
60408,6516.201104613386
60409,4627.542814449064
60410,10070.104739925438
60411,22753.719108280256
60412,10642.611822289156
60413,8806.18501582835
60414,7346.172248493878
60415,4372.33930445735
60416,23806.624197162062
60417,12974.9228799518
60418,10201.156812766665
60419,4311.205903585465
60420,4143.798027444253
60421,4597.048978494624
60422,4189.6799488600045
60423,23979.59975062344
60424,6950.245206038352
60425,7208.196188553038
60426,10254.670074074074
60427,4633.595244998551
60428,14866.81914893617
60429,12825.689171674325
60430,4189.6799488600045
60431,15272.702247801064
60432,4189.6799488600045
60433,7487.134307585247
60434,9822.084972080602
60435,4311.205903585465
60436,4372.33930445735
60437,8730.434911242604
60438,8771.47025589897
60439,15208.999002106664
60440,9122.866103739445
60441,7637.061916753074
60442,10722.047310434218
60443,4372.33930445735
60444,12872.176801801801
60445,21921.219329293897
60446,10201.156812766665
60447,10191.834291974801
60448,18195.019628099173
60449,14447.919187254676
60450,7240.262893567703
60451,4627.542814449064
60452,12825.689171674325
60453,4627.542814449064
60454,23640.72206625491
60455,15985.443611219322
